id,name,age,salary,department,is_active,created_at
1,user_1,56,101120.76,HR,True,2025-04-25 15:49:55.126087
2,user_2,69,45369.81,Sales,True,2025-03-28 15:49:55.126106
3,user_3,46,51370.54,Sales,True,2025-05-21 15:49:55.126110
4,user_4,32,78976.0,Sales,False,2025-03-25 15:49:55.126113
5,user_5,60,54295.12,Engineering,True,2024-10-25 15:49:55.126116
6,user_6,25,33678.86,HR,False,2025-05-12 15:49:55.126118
7,user_7,78,55129.49,Marketing,False,2024-12-31 15:49:55.126121
8,user_8,38,60572.23,Sales,True,2024-12-12 15:49:55.126153
9,user_9,56,44874.57,HR,True,2024-08-20 15:49:55.126168
10,user_10,75,61929.19,Engineering,True,2025-02-20 15:49:55.126171
11,user_11,36,60594.35,HR,True,2024-08-21 15:49:55.126174
12,user_12,40,43123.32,Sales,True,2024-06-11 15:49:55.126177
13,user_13,28,73275.54,Marketing,True,2024-08-28 15:49:55.126179
14,user_14,28,38246.31,HR,True,2024-09-08 15:49:55.126211
15,user_15,41,56559.68,HR,True,2025-04-26 15:49:55.126215
16,user_16,70,40968.29,HR,True,2025-05-31 15:49:55.126218
17,user_17,53,24606.38,Engineering,False,2024-10-09 15:49:55.126220
18,user_18,57,55375.58,HR,True,2024-06-10 15:49:55.126223
19,user_19,41,78939.92,Sales,False,2025-04-30 15:49:55.126225
20,user_20,20,49192.38,Sales,True,2024-06-14 15:49:55.126228
21,user_21,39,27598.62,Marketing,True,2024-12-03 15:49:55.126230
22,user_22,70,53330.87,HR,True,2024-06-26 15:49:55.126232
23,user_23,19,37719.76,HR,True,2024-09-02 15:49:55.126234
24,user_24,41,65806.88,HR,True,2024-07-16 15:49:55.126237
25,user_25,61,46570.48,HR,True,2024-08-23 15:49:55.126239
26,user_26,47,23411.56,Sales,True,2025-01-09 15:49:55.126242
27,user_27,55,57627.86,Engineering,True,2024-12-04 15:49:55.126244
28,user_28,19,53133.16,Engineering,True,2024-12-17 15:49:55.126246
29,user_29,77,45501.83,Marketing,True,2024-06-12 15:49:55.126249
30,user_30,38,34417.96,HR,True,2024-09-17 15:49:55.126251
31,user_31,50,76837.06,Engineering,True,2024-12-19 15:49:55.126253
32,user_32,29,43221.37,Marketing,True,2025-06-01 15:49:55.126255
33,user_33,75,63456.47,Engineering,True,2025-05-30 15:49:55.126258
34,user_34,39,43051.07,HR,False,2024-12-21 15:49:55.126261
35,user_35,78,60212.36,HR,False,2024-12-19 15:49:55.126263
36,user_36,61,50801.78,HR,False,2025-02-19 15:49:55.126266
37,user_37,42,50420.22,Sales,True,2024-10-19 15:49:55.126268
38,user_38,66,37602.89,HR,True,2025-02-06 15:49:55.126270
39,user_39,44,57922.17,HR,True,2025-03-15 15:49:55.126273
40,user_40,76,71076.85,Sales,True,2024-09-04 15:49:55.126275
41,user_41,59,34484.31,HR,True,2025-02-17 15:49:55.126277
42,user_42,45,37515.75,Sales,False,2025-04-28 15:49:55.126280
43,user_43,77,94168.69,Engineering,True,2025-01-08 15:49:55.126282
44,user_44,33,34975.97,Engineering,True,2025-05-31 15:49:55.126284
45,user_45,32,41681.34,Engineering,True,2025-04-06 15:49:55.126286
46,user_46,79,70755.51,Marketing,True,2025-05-27 15:49:55.126289
47,user_47,79,71207.39,Sales,True,2024-08-27 15:49:55.126291
48,user_48,64,13578.75,Marketing,False,2025-05-05 15:49:55.126293
49,user_49,79,61481.39,HR,False,2024-06-05 15:49:55.126295
50,user_50,68,47074.93,Marketing,False,2024-10-13 15:49:55.126297
51,user_51,61,47759.68,Engineering,True,2024-08-20 15:49:55.126300
52,user_52,72,67476.85,Engineering,True,2024-11-15 15:49:55.126302
53,user_53,69,44777.36,Engineering,True,2025-03-29 15:49:55.126304
54,user_54,74,42320.74,Sales,True,2024-06-29 15:49:55.126306
55,user_55,20,45177.01,Marketing,True,2025-01-17 15:49:55.126309
56,user_56,54,44763.46,Engineering,True,2024-10-26 15:49:55.126311
57,user_57,68,55210.36,Sales,True,2024-09-17 15:49:55.126313
58,user_58,24,69849.95,Marketing,True,2025-05-23 15:49:55.126315
59,user_59,38,56413.28,HR,False,2024-07-22 15:49:55.126317
60,user_60,26,49807.03,Sales,True,2025-03-12 15:49:55.126320
61,user_61,56,58195.83,Sales,False,2025-01-15 15:49:55.126322
62,user_62,35,61702.94,Sales,True,2024-06-06 15:49:55.126324
63,user_63,21,58670.16,HR,True,2024-08-16 15:49:55.126326
64,user_64,42,39990.43,HR,True,2024-11-16 15:49:55.126329
65,user_65,77,56369.07,Marketing,True,2024-11-14 15:49:55.126331
66,user_66,31,18206.72,Sales,True,2024-08-27 15:49:55.126333
67,user_67,67,73008.82,Marketing,False,2024-06-03 15:49:55.126336
68,user_68,75,72966.22,HR,True,2024-09-26 15:49:55.126338
69,user_69,26,63341.02,Sales,True,2024-11-21 15:49:55.126340
70,user_70,43,68689.02,Engineering,True,2024-09-21 15:49:55.126342
71,user_71,70,48887.57,Sales,True,2025-04-27 15:49:55.126344
72,user_72,19,38742.7,HR,True,2024-12-05 15:49:55.126346
73,user_73,37,31191.46,HR,False,2024-07-14 15:49:55.126348
74,user_74,45,65122.06,Engineering,True,2025-02-23 15:49:55.126351
75,user_75,64,38740.78,HR,False,2025-04-10 15:49:55.126353
76,user_76,77,44393.57,Engineering,True,2025-02-03 15:49:55.126355
77,user_77,24,53362.07,HR,True,2025-02-18 15:49:55.126357
78,user_78,61,49437.95,Engineering,True,2024-09-25 15:49:55.126360
79,user_79,78,53971.59,HR,False,2024-12-30 15:49:55.126362
80,user_80,25,22878.24,Engineering,True,2024-06-12 15:49:55.126364
81,user_81,64,46497.55,HR,True,2024-09-14 15:49:55.126366
82,user_82,52,62362.45,Marketing,True,2025-02-04 15:49:55.126368
83,user_83,31,43522.74,Engineering,True,2024-10-18 15:49:55.126370
84,user_84,34,37067.55,HR,True,2024-07-12 15:49:55.126372
85,user_85,53,64321.92,HR,True,2025-03-05 15:49:55.126375
86,user_86,67,43636.22,Engineering,True,2024-06-06 15:49:55.126377
87,user_87,57,52767.33,Marketing,True,2024-11-12 15:49:55.126379
88,user_88,21,46843.34,Engineering,True,2025-05-10 15:49:55.126381
89,user_89,19,49993.5,HR,False,2024-07-21 15:49:55.126383
90,user_90,79,72944.15,Engineering,False,2024-06-19 15:49:55.126385
91,user_91,23,58579.04,Marketing,False,2025-02-03 15:49:55.126388
92,user_92,71,31673.22,HR,True,2024-08-04 15:49:55.126390
93,user_93,59,44418.77,Engineering,True,2024-12-29 15:49:55.126392
94,user_94,21,43810.81,Marketing,False,2025-01-30 15:49:55.126394
95,user_95,71,53245.57,Marketing,True,2024-09-06 15:49:55.126396
96,user_96,46,63631.75,HR,True,2024-09-28 15:49:55.126399
97,user_97,35,50477.56,Sales,True,2024-06-22 15:49:55.126401
98,user_98,43,50036.93,Marketing,True,2024-09-10 15:49:55.126403
99,user_99,61,16526.69,HR,True,2025-03-26 15:49:55.126405
100,user_100,51,69860.67,HR,True,2025-02-17 15:49:55.126407
101,user_101,27,47481.99,Marketing,True,2025-01-19 15:49:55.126410
102,user_102,79,53879.62,Engineering,False,2025-02-27 15:49:55.126412
103,user_103,53,53844.19,Marketing,True,2024-10-15 15:49:55.126414
104,user_104,31,38461.57,HR,True,2025-03-06 15:49:55.126416
105,user_105,48,46341.38,Sales,False,2024-08-23 15:49:55.126418
106,user_106,65,38343.6,HR,True,2025-03-10 15:49:55.126420
107,user_107,32,70749.95,HR,True,2024-08-21 15:49:55.126422
108,user_108,25,16642.2,Engineering,False,2024-12-07 15:49:55.126425
109,user_109,31,35700.15,HR,True,2024-12-22 15:49:55.126427
110,user_110,40,45168.95,Marketing,True,2025-02-14 15:49:55.126430
111,user_111,77,72462.44,Marketing,True,2025-04-21 15:49:55.126432
112,user_112,74,60617.24,Marketing,True,2025-01-04 15:49:55.126434
113,user_113,79,25429.4,Sales,True,2024-08-09 15:49:55.126436
114,user_114,57,48267.36,Engineering,True,2024-11-07 15:49:55.126438
115,user_115,38,60819.97,Engineering,False,2024-06-16 15:49:55.126441
116,user_116,33,83403.55,Engineering,True,2024-10-28 15:49:55.126443
117,user_117,62,44903.78,Marketing,True,2024-10-18 15:49:55.126445
118,user_118,35,32233.43,Sales,True,2025-04-16 15:49:55.126447
119,user_119,64,54835.52,Marketing,False,2024-10-25 15:49:55.126449
120,user_120,70,49350.72,Marketing,False,2025-03-23 15:49:55.126451
121,user_121,41,56949.63,Engineering,False,2025-02-26 15:49:55.126453
122,user_122,43,60357.12,Sales,True,2025-02-20 15:49:55.126455
123,user_123,42,54798.98,HR,True,2024-09-27 15:49:55.126457
124,user_124,77,57922.95,Engineering,True,2024-12-23 15:49:55.126460
125,user_125,77,74535.27,Sales,False,2025-03-30 15:49:55.126462
126,user_126,77,45634.12,HR,True,2024-11-29 15:49:55.126464
127,user_127,62,31633.54,Marketing,True,2024-12-20 15:49:55.126466
128,user_128,58,54709.64,Marketing,True,2024-10-23 15:49:55.126468
129,user_129,46,30780.0,Engineering,True,2025-02-26 15:49:55.126471
130,user_130,32,33176.12,Sales,True,2024-08-19 15:49:55.126473
131,user_131,62,37668.5,Sales,True,2025-01-24 15:49:55.126476
132,user_132,18,31238.89,Sales,True,2024-12-01 15:49:55.126478
133,user_133,42,67528.48,Marketing,True,2024-11-18 15:49:55.126480
134,user_134,24,50733.67,HR,False,2024-06-03 15:49:55.126482
135,user_135,26,60601.83,Engineering,True,2024-08-30 15:49:55.126484
136,user_136,41,57653.97,Engineering,False,2024-07-07 15:49:55.126487
137,user_137,18,46850.74,Marketing,True,2025-05-15 15:49:55.126489
138,user_138,61,64407.56,Engineering,True,2025-01-29 15:49:55.126491
139,user_139,25,42761.48,HR,True,2024-11-11 15:49:55.126493
140,user_140,41,47480.56,Marketing,True,2025-04-10 15:49:55.126495
141,user_141,28,39382.38,Sales,True,2024-06-24 15:49:55.126497
142,user_142,68,71004.59,Sales,True,2024-08-31 15:49:55.126499
143,user_143,34,48392.97,HR,False,2024-08-25 15:49:55.126502
144,user_144,25,58970.42,Marketing,True,2024-08-06 15:49:55.126504
145,user_145,52,41278.08,HR,False,2024-09-14 15:49:55.126506
146,user_146,52,62705.29,Sales,False,2024-11-10 15:49:55.126508
147,user_147,50,61592.05,Marketing,True,2025-03-22 15:49:55.126510
148,user_148,76,25617.8,Sales,True,2024-09-06 15:49:55.126513
149,user_149,22,50061.88,Engineering,True,2025-05-18 15:49:55.126515
150,user_150,59,51753.51,Marketing,False,2025-05-22 15:49:55.126517
151,user_151,56,45504.18,Engineering,True,2024-07-31 15:49:55.126519
152,user_152,75,70770.66,HR,True,2024-08-14 15:49:55.126521
153,user_153,58,31741.29,HR,True,2024-06-12 15:49:55.126524
154,user_154,45,43275.76,Marketing,False,2025-03-24 15:49:55.126526
155,user_155,24,37259.93,Engineering,True,2024-06-21 15:49:55.126528
156,user_156,26,65448.82,HR,True,2024-09-01 15:49:55.126530
157,user_157,25,34570.79,Marketing,True,2025-01-18 15:49:55.126532
158,user_158,29,22511.27,Engineering,True,2024-12-09 15:49:55.126534
159,user_159,51,56470.78,HR,False,2025-03-08 15:49:55.126536
160,user_160,50,47912.42,Marketing,True,2024-10-20 15:49:55.126539
161,user_161,65,65605.24,Sales,False,2024-11-10 15:49:55.126541
162,user_162,72,62185.15,HR,False,2025-04-07 15:49:55.126543
163,user_163,40,49362.75,Marketing,True,2025-03-29 15:49:55.126545
164,user_164,79,28352.33,Marketing,True,2024-09-06 15:49:55.126547
165,user_165,41,32028.47,Marketing,True,2024-07-06 15:49:55.126549
166,user_166,54,23402.14,Sales,True,2025-04-26 15:49:55.126551
167,user_167,52,47926.08,HR,False,2025-03-22 15:49:55.126554
168,user_168,61,40119.46,HR,False,2024-09-24 15:49:55.126556
169,user_169,57,47289.21,HR,True,2024-12-09 15:49:55.126558
170,user_170,39,52603.46,Engineering,True,2024-08-29 15:49:55.126560
171,user_171,44,78474.51,Sales,True,2025-04-03 15:49:55.126562
172,user_172,52,58713.01,Sales,True,2025-01-04 15:49:55.126564
173,user_173,18,51070.06,Engineering,True,2025-04-03 15:49:55.126566
174,user_174,52,26528.05,Marketing,True,2024-08-10 15:49:55.126569
175,user_175,54,50393.17,Marketing,True,2025-02-28 15:49:55.126571
176,user_176,64,63227.62,Engineering,True,2024-07-06 15:49:55.126573
177,user_177,31,55862.59,Sales,True,2025-04-16 15:49:55.126575
178,user_178,20,34282.08,Engineering,False,2025-02-25 15:49:55.126578
179,user_179,18,44353.26,Marketing,True,2025-05-05 15:49:55.126580
180,user_180,22,51100.59,Engineering,True,2024-12-19 15:49:55.126582
181,user_181,43,43878.31,HR,True,2025-01-19 15:49:55.126584
182,user_182,72,40743.41,Engineering,True,2025-05-19 15:49:55.126586
183,user_183,31,17791.97,Marketing,True,2024-09-16 15:49:55.126588
184,user_184,56,38477.28,Sales,True,2024-07-14 15:49:55.126590
185,user_185,44,53767.14,HR,True,2025-02-12 15:49:55.126592
186,user_186,26,63126.74,Engineering,True,2025-03-02 15:49:55.126594
187,user_187,32,51142.39,HR,False,2024-10-02 15:49:55.126597
188,user_188,32,65891.73,Marketing,True,2025-03-12 15:49:55.126599
189,user_189,43,48821.46,Marketing,True,2025-04-01 15:49:55.126601
190,user_190,59,36834.09,Sales,False,2024-06-20 15:49:55.126603
191,user_191,77,42889.86,Marketing,True,2024-07-28 15:49:55.126605
192,user_192,30,57485.21,Sales,True,2024-08-15 15:49:55.126607
193,user_193,68,45978.78,HR,True,2024-06-18 15:49:55.126609
194,user_194,49,40362.54,Marketing,True,2024-09-21 15:49:55.126612
195,user_195,56,26636.92,Engineering,True,2024-11-07 15:49:55.126614
196,user_196,66,36602.36,Engineering,False,2025-02-24 15:49:55.126616
197,user_197,69,44043.81,Engineering,True,2025-05-05 15:49:55.126618
198,user_198,78,41280.4,Marketing,True,2024-07-01 15:49:55.126620
199,user_199,49,35381.01,Engineering,True,2025-02-21 15:49:55.126622
200,user_200,21,73360.65,HR,True,2024-12-07 15:49:55.126626
201,user_201,47,59006.01,Sales,False,2024-11-09 15:49:55.126628
202,user_202,54,82882.04,Engineering,False,2025-03-02 15:49:55.126630
203,user_203,40,25921.89,Engineering,True,2024-12-06 15:49:55.126632
204,user_204,56,54697.16,Marketing,True,2025-04-19 15:49:55.126634
205,user_205,62,43480.87,Sales,True,2025-01-04 15:49:55.126636
206,user_206,32,50294.8,Sales,True,2024-09-15 15:49:55.126638
207,user_207,60,77761.6,HR,True,2025-05-15 15:49:55.126640
208,user_208,46,23907.61,Engineering,False,2025-05-17 15:49:55.126643
209,user_209,53,41409.29,HR,True,2025-04-18 15:49:55.126645
210,user_210,30,38778.07,Sales,True,2025-05-01 15:49:55.126647
211,user_211,49,41449.34,Engineering,True,2024-07-06 15:49:55.126651
212,user_212,24,18339.79,Sales,True,2024-10-27 15:49:55.126653
213,user_213,76,69280.55,HR,True,2025-05-16 15:49:55.126656
214,user_214,68,69876.44,HR,True,2025-02-04 15:49:55.126658
215,user_215,39,58728.22,Marketing,True,2024-08-15 15:49:55.126660
216,user_216,45,29924.35,HR,False,2025-02-03 15:49:55.126662
217,user_217,19,54164.62,Engineering,True,2025-05-17 15:49:55.126664
218,user_218,59,62989.78,Engineering,True,2024-06-13 15:49:55.126666
219,user_219,62,55825.73,HR,True,2024-12-22 15:49:55.126668
220,user_220,79,49259.59,Sales,True,2025-02-25 15:49:55.126671
221,user_221,74,71158.71,Engineering,True,2025-06-01 15:49:55.126673
222,user_222,70,39362.9,Marketing,True,2025-04-08 15:49:55.126675
223,user_223,23,47467.52,Engineering,False,2025-05-04 15:49:55.126677
224,user_224,45,59384.0,Marketing,True,2024-09-27 15:49:55.126679
225,user_225,45,54767.61,Engineering,True,2024-11-03 15:49:55.126681
226,user_226,61,58399.46,HR,True,2024-12-18 15:49:55.126683
227,user_227,61,58003.05,HR,True,2024-10-20 15:49:55.126685
228,user_228,37,57873.0,Sales,True,2025-05-10 15:49:55.126687
229,user_229,47,44527.72,HR,True,2025-05-12 15:49:55.126689
230,user_230,79,39537.42,Marketing,True,2024-11-29 15:49:55.126692
231,user_231,28,52057.08,HR,True,2024-08-23 15:49:55.126694
232,user_232,75,72667.83,Sales,True,2025-03-17 15:49:55.126696
233,user_233,72,49627.09,Engineering,True,2024-11-05 15:49:55.126698
234,user_234,45,58990.98,Engineering,True,2024-08-18 15:49:55.126700
235,user_235,42,51686.56,Engineering,True,2025-01-28 15:49:55.126703
236,user_236,56,80505.88,Sales,False,2025-05-16 15:49:55.126705
237,user_237,79,47931.26,HR,False,2024-11-01 15:49:55.126707
238,user_238,50,59042.55,Sales,False,2025-04-12 15:49:55.126709
239,user_239,18,39216.67,HR,True,2025-01-15 15:49:55.126711
240,user_240,74,33193.4,Engineering,True,2025-05-11 15:49:55.126713
241,user_241,44,49896.47,Engineering,True,2024-08-01 15:49:55.126715
242,user_242,79,67716.47,HR,False,2025-02-03 15:49:55.126717
243,user_243,74,59503.83,Marketing,True,2025-05-06 15:49:55.126719
244,user_244,69,18703.99,Engineering,True,2024-10-10 15:49:55.126721
245,user_245,30,60992.89,Marketing,True,2024-10-22 15:49:55.126724
246,user_246,58,27029.74,Sales,False,2025-02-20 15:49:55.126726
247,user_247,20,62599.88,HR,True,2025-05-22 15:49:55.126728
248,user_248,56,58166.15,Engineering,True,2025-01-04 15:49:55.126730
249,user_249,23,47752.92,Sales,True,2025-04-02 15:49:55.126732
250,user_250,25,60908.79,Engineering,True,2025-03-06 15:49:55.126734
251,user_251,44,46038.01,Marketing,False,2025-04-02 15:49:55.126736
252,user_252,26,52240.46,Marketing,True,2025-04-29 15:49:55.126738
253,user_253,79,28426.54,Engineering,False,2025-01-07 15:49:55.126741
254,user_254,54,46157.01,HR,False,2025-01-21 15:49:55.126743
255,user_255,50,63857.94,Marketing,True,2024-12-26 15:49:55.126745
256,user_256,68,30032.61,Engineering,False,2024-07-04 15:49:55.126747
257,user_257,59,62279.36,Sales,False,2025-03-30 15:49:55.126749
258,user_258,61,19719.2,Sales,False,2025-03-10 15:49:55.126751
259,user_259,41,32156.06,Marketing,False,2024-10-14 15:49:55.126754
260,user_260,32,45278.2,Sales,False,2024-10-15 15:49:55.126756
261,user_261,76,52303.78,Marketing,True,2024-10-02 15:49:55.126758
262,user_262,71,41409.31,HR,True,2025-02-05 15:49:55.126760
263,user_263,49,40999.89,Engineering,True,2025-01-27 15:49:55.126762
264,user_264,49,66607.41,HR,True,2024-10-14 15:49:55.126764
265,user_265,41,67830.35,Marketing,True,2024-07-10 15:49:55.126766
266,user_266,58,43634.07,Marketing,True,2024-08-01 15:49:55.126769
267,user_267,69,44088.31,Engineering,True,2024-07-28 15:49:55.126771
268,user_268,66,45694.19,Sales,True,2025-03-06 15:49:55.126773
